"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCNB1",1398.92331179698,2.99064630101693,0.380276381584545,7.86440190830531,3.70865059943848e-15,3.73651786100488e-13
"ZPLD1",30.9899640617301,4.86123346850884,0.618941068165389,7.85411361200847,4.02609215771517e-15,4.03355626115363e-13
"CDH5",5640.26888485778,-2.63411700715586,0.335903277950028,-7.8418913421492,4.43810330111049e-15,4.42149140607281e-13
"TRPM8",311.298873743537,6.34773991793984,0.80965137609783,7.84009032200156,4.50222468146366e-15,4.4358106488697e-13
"SRPK1",2919.40698866339,1.80986214362393,0.230841843053162,7.84026898973913,4.49582307357277e-15,4.4358106488697e-13
"SLC2A1",5378.74098409934,3.42052694882069,0.436965596280207,7.82790905723216,4.96050534325093e-15,4.86047757066999e-13
"RAMP3",2369.57932249903,-3.49298583353185,0.446688023487486,-7.81974364627151,5.29310182097512e-15,5.15802649035242e-13
"MELK",549.402748400607,3.74282910617624,0.478733663030198,7.81818659353427,5.35897149192963e-15,5.19383362041202e-13
"ADRB2",725.00069190522,-2.55141394123964,0.326506997813877,-7.81427031678525,5.52823406679377e-15,5.32891881692613e-13
"PPAT",597.351245024762,1.81070259011138,0.232069153998404,7.8024268150856,6.07278484076767e-15,5.82236408953817e-13
"NRG3",29.3035400370781,-3.31910369833014,0.425730912297852,-7.79624782333873,6.37750810066353e-15,6.08182363417822e-13
"KIF20A",594.158163335288,2.93458953776676,0.376686465191773,7.79053618577121,6.67254267302062e-15,6.32933263233918e-13
"SLC22A18AS",129.718004005348,2.51297430004603,0.322724528972745,7.786747130889,6.87563646632223e-15,6.48747222772086e-13
"PROM2",2217.5657574154,2.60586798984975,0.334698509250264,7.78571734809031,6.93187652766088e-15,6.50611337461982e-13
"NECAB1",377.121122541199,-2.62477785737106,0.337652312871532,-7.77361136681956,7.62795289775532e-15,7.12195204322883e-13
"AC011294.3",26.8919601057709,5.33694534928883,0.686807472917931,7.77065707601374,7.80800208786165e-15,7.22155849101726e-13
"MYRF",2207.12554296943,-3.38652293781355,0.435816017126503,-7.77053344698562,7.81562714499149e-15,7.22155849101726e-13
"TGM1",170.489303251247,-2.80897699100689,0.362719885678087,-7.74420455541235,9.61820599294262e-15,8.84131275629617e-13
"EFNA3",136.17028710667,1.94366261815984,0.251065378951204,7.7416592693077,9.81276718351782e-15,8.97390139403453e-13
"MSI2",1802.31308990315,1.04410382744073,0.135015062014909,7.7332396242238,1.04843683241209e-14,9.53917042469632e-13
"C1orf115",1263.62843508265,-2.54304720645321,0.328911913054329,-7.73169686326672,1.06122406027921e-14,9.6065018614006e-13
"KLF4",3831.93987883639,-2.57313835689654,0.333015907918078,-7.72677309316267,1.10307009864371e-14,9.93487326722892e-13
"NT5E",3311.82532521667,2.49201739533262,0.322616046167071,7.72440622510789,1.12375933209931e-14,1.00703518438829e-12
"EXO1",271.238985539456,3.43705943324595,0.445440677738226,7.71608792151178,1.19954580366548e-14,1.06957501583833e-12
